master_hcp_id_treated,event_id,master_hcp_id_control,propensity_score_treated,propensity_score_control,match_weight
HCP101564,EV2062,HCP102014,0.453442,0.478108,0.5
HCP101564,EV2062,HCP101438,0.453442,0.475279,0.5
HCP100639,EV2062,HCP100086,0.552473,0.56384,0.5
HCP100639,EV2062,HCP101641,0.552473,0.570479,0.5
HCP100297,EV2062,HCP100424,0.241953,0.20395,0.5
HCP100297,EV2062,HCP102012,0.241953,0.286733,0.5
HCP100578,EV2062,HCP100165,0.27896,0.237178,0.5
HCP100578,EV2062,HCP101773,0.27896,0.303484,0.5
HCP101168,EV2062,HCP101047,0.0555,0.060781,0.5
HCP101168,EV2062,HCP100501,0.0555,0.02991,0.5
HCP100045,EV2062,HCP101362,0.50836,0.477059,0.5
HCP100045,EV2062,HCP101554,0.50836,0.492529,0.5
HCP102048,EV2062,HCP100640,0.301112,0.28351,0.5
HCP102048,EV2062,HCP102244,0.301112,0.263121,0.5
HCP102328,EV2062,HCP102258,0.526746,0.563681,0.5
HCP102328,EV2062,HCP102126,0.526746,0.532591,0.5
HCP100763,EV2062,HCP101126,0.102618,0.120109,0.5
HCP100763,EV2062,HCP101789,0.102618,0.122602,0.5
HCP101393,EV2062,HCP102095,0.517171,0.524384,0.5
HCP101393,EV2062,HCP100745,0.517171,0.524891,0.5
HCP100305,EV2062,HCP101537,0.501555,0.46641,0.5
HCP100305,EV2062,HCP100010,0.501555,0.467464,0.5
HCP101517,EV2062,HCP100275,0.186067,0.23473,0.5
HCP101517,EV2062,HCP101905,0.186067,0.179206,0.5
HCP101404,EV2062,HCP100452,0.468017,0.508895,0.5
HCP101404,EV2062,HCP100583,0.468017,0.439397,0.5
HCP100979,EV2062,HCP101846,0.412944,0.371672,0.5
HCP100979,EV2062,HCP100017,0.412944,0.365478,0.5
HCP100889,EV2062,HCP101956,0.396364,0.377787,0.5
HCP100889,EV2062,HCP101852,0.396364,0.395806,0.5
HCP102306,EV2062,HCP102130,0.603159,0.602353,0.5
HCP102306,EV2062,HCP100752,0.603159,0.612193,0.5
HCP101141,EV2062,HCP102142,0.532056,0.53365,0.5
HCP101141,EV2062,HCP101212,0.532056,0.526007,0.5
HCP100539,EV2062,HCP101412,0.257399,0.23146,0.5
HCP100539,EV2062,HCP101436,0.257399,0.279738,0.5
HCP102383,EV2062,HCP102498,0.315893,0.307616,0.5
HCP102383,EV2062,HCP102116,0.315893,0.334925,0.5
HCP100525,EV2062,HCP101099,0.505272,0.551743,0.5
HCP100525,EV2062,HCP101570,0.505272,0.468539,0.5
HCP102249,EV2062,HCP101458,0.396189,0.443038,0.5
HCP102249,EV2062,HCP101764,0.396189,0.365717,0.5
HCP100548,EV2062,HCP101612,0.534501,0.518421,0.5
HCP100548,EV2062,HCP100042,0.534501,0.513815,0.5
HCP100057,EV2062,HCP101631,0.478229,0.490987,0.5
HCP100057,EV2062,HCP100437,0.478229,0.488875,0.5
HCP100008,EV2062,HCP102112,0.370287,0.336527,0.5
HCP100008,EV2062,HCP101553,0.370287,0.335104,0.5
HCP101548,EV2062,HCP100844,0.337628,0.384132,0.5
HCP101548,EV2062,HCP101079,0.337628,0.381234,0.5
HCP100051,EV2062,HCP101812,0.58599,0.599946,0.5
HCP100051,EV2062,HCP101177,0.58599,0.541527,0.5
HCP101981,EV2062,HCP100654,0.253255,0.289861,0.5
HCP101981,EV2062,HCP100707,0.253255,0.265114,0.5
HCP102043,EV2063,HCP101908,0.297904,0.303951,0.5
HCP102043,EV2063,HCP101648,0.297904,0.331326,0.5
HCP102489,EV2063,HCP101502,0.758298,0.731631,0.5
HCP102489,EV2063,HCP101668,0.758298,0.725722,0.5
HCP100222,EV2063,HCP102177,0.632322,0.636384,1.0
HCP102139,EV2063,HCP101885,0.46095,0.417592,0.5
HCP102139,EV2063,HCP100678,0.46095,0.461101,0.5
HCP100429,EV2064,HCP101255,0.507962,0.482437,0.5
HCP100429,EV2064,HCP100790,0.507962,0.532279,0.5
HCP101300,EV2064,HCP100530,0.663778,0.627827,0.5
HCP101300,EV2064,HCP100154,0.663778,0.691625,0.5
HCP100014,EV2064,HCP102259,0.56779,0.528493,0.5
HCP100014,EV2064,HCP101829,0.56779,0.560461,0.5
HCP100777,EV2064,HCP100803,0.486358,0.490296,0.5
HCP100777,EV2064,HCP100313,0.486358,0.520776,0.5
HCP102351,EV2064,HCP100613,0.214714,0.194156,0.5
HCP102351,EV2064,HCP101459,0.214714,0.1782,0.5
HCP100413,EV2064,HCP100444,0.474206,0.497188,0.5
HCP100413,EV2064,HCP102431,0.474206,0.457748,0.5
HCP100327,EV2064,HCP100383,0.41687,0.416018,0.5
HCP100327,EV2064,HCP101482,0.41687,0.434236,0.5
HCP101013,EV2064,HCP102478,0.4513,0.428861,0.5
HCP101013,EV2064,HCP101793,0.4513,0.471306,0.5
HCP102458,EV2064,HCP102379,0.157832,0.186836,0.5
HCP102458,EV2064,HCP102326,0.157832,0.206603,0.5
HCP100577,EV2064,HCP101874,0.594158,0.54588,0.5
HCP100577,EV2064,HCP102222,0.594158,0.586703,0.5
HCP101767,EV2064,HCP102493,0.403302,0.365484,0.5
HCP101767,EV2064,HCP100828,0.403302,0.359385,0.5
HCP100060,EV2064,HCP101740,0.525996,0.487576,0.5
HCP100060,EV2064,HCP100891,0.525996,0.557947,0.5
HCP101652,EV2064,HCP100263,0.431897,0.459431,0.5
HCP101652,EV2064,HCP100595,0.431897,0.436238,0.5
HCP101073,EV2064,HCP101155,0.518644,0.533019,0.5
HCP101073,EV2064,HCP101940,0.518644,0.550036,0.5
HCP100680,EV2064,HCP100499,0.55895,0.586829,1.0
HCP101343,EV2064,HCP100370,0.508032,0.466719,1.0
HCP100551,EV2064,HCP101536,0.464991,0.443175,1.0
HCP101031,EV2064,HCP100866,0.395512,0.385025,0.5
HCP101031,EV2064,HCP100516,0.395512,0.372887,0.5
HCP100502,EV2064,HCP101407,0.228388,0.274881,0.5
HCP100502,EV2064,HCP101328,0.228388,0.274305,0.5
HCP102304,EV2065,HCP101976,0.557287,0.533745,0.5
HCP102304,EV2065,HCP100950,0.557287,0.52911,0.5
HCP101277,EV2065,HCP102283,0.42799,0.444199,0.5
HCP101277,EV2065,HCP101237,0.42799,0.431589,0.5
HCP100064,EV2065,HCP101783,0.602601,0.618351,0.5
HCP100064,EV2065,HCP100714,0.602601,0.558962,0.5
HCP101926,EV2065,HCP101372,0.691737,0.691157,0.5
HCP101926,EV2065,HCP102125,0.691737,0.647928,0.5
HCP101865,EV2065,HCP100562,0.505277,0.470316,0.5
HCP101865,EV2065,HCP101944,0.505277,0.463206,0.5
HCP101120,EV2065,HCP102374,0.76719,0.723376,1.0
HCP101885,EV2065,HCP101790,0.688558,0.669291,0.5
HCP101885,EV2065,HCP101034,0.688558,0.666923,0.5
HCP101919,EV2065,HCP102133,0.313046,0.33095,0.5
HCP101919,EV2065,HCP101971,0.313046,0.266448,0.5
HCP100102,EV2065,HCP101527,0.696502,0.707471,0.5
HCP100102,EV2065,HCP101017,0.696502,0.701306,0.5
HCP102020,EV2065,HCP100790,0.528096,0.509643,0.5
HCP102020,EV2065,HCP101408,0.528096,0.54904,0.5
HCP100944,EV2065,HCP101276,0.397564,0.41401,0.5
HCP100944,EV2065,HCP100482,0.397564,0.412129,0.5
HCP100583,EV2065,HCP101994,0.172136,0.200622,0.5
HCP100583,EV2065,HCP100251,0.172136,0.202806,0.5
HCP101177,EV2067,HCP100843,0.541527,0.525199,0.5
HCP101177,EV2067,HCP102258,0.541527,0.563681,0.5
HCP101212,EV2067,HCP102042,0.526007,0.478572,0.5
HCP101212,EV2067,HCP102437,0.526007,0.478138,0.5
HCP101608,EV2067,HCP102250,0.417471,0.375703,0.5
HCP101608,EV2067,HCP100697,0.417471,0.455034,0.5
HCP102084,EV2067,HCP102126,0.520698,0.532591,0.5
HCP102084,EV2067,HCP100447,0.520698,0.481987,0.5
HCP101487,EV2067,HCP101628,0.416229,0.393399,0.5
HCP101487,EV2067,HCP100867,0.416229,0.405802,0.5
HCP101878,EV2067,HCP100612,0.475444,0.468486,0.5
HCP101878,EV2067,HCP100148,0.475444,0.441343,0.5
HCP101409,EV2067,HCP100053,0.389656,0.418929,0.5
HCP101409,EV2067,HCP100468,0.389656,0.359432,0.5
HCP100794,EV2067,HCP100725,0.403535,0.381368,0.5
HCP100794,EV2067,HCP100510,0.403535,0.395623,0.5
HCP100897,EV2067,HCP100774,0.445368,0.42442,1.0
HCP100462,EV2068,HCP100302,0.479564,0.461464,0.5
HCP100462,EV2068,HCP100131,0.479564,0.46465,0.5
HCP101918,EV2068,HCP100088,0.589846,0.636963,0.5
HCP101918,EV2068,HCP101163,0.589846,0.589957,0.5
HCP101363,EV2068,HCP100600,0.537297,0.574456,0.5
HCP101363,EV2068,HCP100850,0.537297,0.566707,0.5
HCP100320,EV2068,HCP100283,0.226959,0.20858,0.5
HCP100320,EV2068,HCP102182,0.226959,0.189048,0.5
HCP101156,EV2068,HCP100858,0.576909,0.590221,0.5
HCP101156,EV2068,HCP101184,0.576909,0.552046,0.5
HCP101419,EV2068,HCP100798,0.491929,0.517148,0.5
HCP101419,EV2068,HCP101718,0.491929,0.523791,0.5
HCP101120,EV2068,HCP100839,0.43071,0.391849,0.5
HCP101120,EV2068,HCP102246,0.43071,0.437009,0.5
HCP102438,EV2068,HCP102311,0.464124,0.441349,0.5
HCP102438,EV2068,HCP101851,0.464124,0.459037,0.5
HCP100817,EV2068,HCP100657,0.623691,0.644141,0.5
HCP100817,EV2068,HCP102244,0.623691,0.620771,0.5
HCP100659,EV2068,HCP102253,0.674555,0.674565,1.0
HCP101668,EV2068,HCP101439,0.468179,0.517562,0.5
HCP101668,EV2068,HCP102071,0.468179,0.508947,0.5
HCP100390,EV2068,HCP102221,0.375989,0.388124,0.5
HCP100390,EV2068,HCP101964,0.375989,0.33738,0.5
HCP101137,EV2068,HCP100168,0.566657,0.532463,0.5
HCP101137,EV2068,HCP101405,0.566657,0.532644,0.5
HCP102121,EV2068,HCP100364,0.525944,0.509338,0.5
HCP102121,EV2068,HCP102149,0.525944,0.503911,0.5
HCP100130,EV2068,HCP100668,0.198545,0.161282,0.5
HCP100130,EV2068,HCP102493,0.198545,0.181888,0.5
HCP102125,EV2069,HCP100714,0.506472,0.547779,0.5
HCP102125,EV2069,HCP100408,0.506472,0.534056,0.5
HCP100614,EV2069,HCP100372,0.345881,0.356689,0.5
HCP100614,EV2069,HCP102059,0.345881,0.312044,0.5
HCP100321,EV2069,HCP101693,0.475849,0.434799,0.5
HCP100321,EV2069,HCP100376,0.475849,0.433752,0.5
HCP102480,EV2069,HCP102392,0.468818,0.476641,0.5
HCP102480,EV2069,HCP101699,0.468818,0.428299,0.5
HCP101172,EV2069,HCP100293,0.527185,0.527572,0.5
HCP101172,EV2069,HCP100062,0.527185,0.545256,0.5
HCP100568,EV2069,HCP102274,0.48151,0.501631,0.5
HCP100568,EV2069,HCP101595,0.48151,0.43233,0.5
HCP101720,EV2069,HCP100380,0.502799,0.510007,0.5
HCP101720,EV2069,HCP100656,0.502799,0.456955,0.5
HCP100984,EV2069,HCP100819,0.635182,0.611342,0.5
HCP100984,EV2069,HCP101925,0.635182,0.605534,0.5
HCP100284,EV2069,HCP101952,0.623719,0.596901,0.5
HCP100284,EV2069,HCP100503,0.623719,0.594101,0.5
HCP102159,EV2069,HCP102224,0.613796,0.658556,0.5
HCP102159,EV2069,HCP101119,0.613796,0.630837,0.5
HCP101602,EV2069,HCP101982,0.327681,0.370609,0.5
HCP101602,EV2069,HCP101178,0.327681,0.375152,0.5
HCP102194,EV2070,HCP101395,0.569578,0.546116,0.5
HCP102194,EV2070,HCP101985,0.569578,0.587497,0.5
HCP101204,EV2070,HCP101808,0.61833,0.658949,0.5
HCP101204,EV2070,HCP100866,0.61833,0.584399,0.5
HCP102114,EV2070,HCP101752,0.16739,0.14898,0.5
HCP102114,EV2070,HCP101631,0.16739,0.180862,0.5
HCP100263,EV2070,HCP101150,0.431925,0.425279,0.5
HCP100263,EV2070,HCP100595,0.431925,0.429181,0.5
HCP101135,EV2070,HCP100261,0.642465,0.603743,0.5
HCP101135,EV2070,HCP101160,0.642465,0.617477,0.5
HCP101777,EV2070,HCP100309,0.44085,0.437466,0.5
HCP101777,EV2070,HCP100891,0.44085,0.420805,0.5
HCP102409,EV2070,HCP100487,0.282946,0.286233,0.5
HCP102409,EV2070,HCP102056,0.282946,0.277715,0.5
HCP100565,EV2070,HCP100270,0.376863,0.389387,0.5
HCP100565,EV2070,HCP101280,0.376863,0.34705,0.5
HCP101268,EV2070,HCP100529,0.51424,0.562121,0.5
HCP101268,EV2070,HCP100793,0.51424,0.474188,0.5
HCP100313,EV2071,HCP101820,0.595882,0.548201,0.5
HCP100313,EV2071,HCP101541,0.595882,0.567654,0.5
HCP101278,EV2071,HCP101678,0.27452,0.233326,0.5
HCP101278,EV2071,HCP102250,0.27452,0.278116,0.5
HCP100007,EV2071,HCP100789,0.447176,0.477132,0.5
HCP100007,EV2071,HCP100439,0.447176,0.482285,0.5
HCP100154,EV2071,HCP100074,0.530469,0.531176,0.5
HCP100154,EV2071,HCP100444,0.530469,0.50608,0.5
HCP101234,EV2071,HCP102288,0.247605,0.282639,0.5
HCP101234,EV2071,HCP101328,0.247605,0.217399,0.5
HCP101740,EV2071,HCP100123,0.27056,0.314496,1.0
HCP101297,EV2071,HCP101679,0.429118,0.467679,0.5
HCP101297,EV2071,HCP101098,0.429118,0.473273,0.5
HCP102268,EV2071,HCP100498,0.14062,0.143915,1.0
HCP100481,EV2071,HCP101325,0.312347,0.346647,1.0
HCP102175,EV2073,HCP100307,0.60483,0.56638,0.5
HCP102175,EV2073,HCP100802,0.60483,0.558932,0.5
HCP100199,EV2073,HCP100166,0.529748,0.530148,0.5
HCP100199,EV2073,HCP101403,0.529748,0.539662,0.5
HCP101149,EV2073,HCP102075,0.503662,0.492424,0.5
HCP101149,EV2073,HCP101529,0.503662,0.514205,0.5
HCP100656,EV2073,HCP100420,0.456955,0.446236,0.5
HCP100656,EV2073,HCP101471,0.456955,0.479843,0.5
HCP101763,EV2073,HCP100451,0.45643,0.478702,0.5
HCP101763,EV2073,HCP102433,0.45643,0.463769,0.5
HCP101636,EV2073,HCP100110,0.355513,0.333791,0.5
HCP101636,EV2073,HCP102367,0.355513,0.335066,0.5
HCP100293,EV2073,HCP101457,0.527572,0.564651,0.5
HCP100293,EV2073,HCP100062,0.527572,0.545256,0.5
HCP101082,EV2073,HCP102218,0.457457,0.43176,0.5
HCP101082,EV2073,HCP101389,0.457457,0.485587,0.5
HCP101447,EV2073,HCP100589,0.520267,0.534428,0.5
HCP101447,EV2073,HCP100337,0.520267,0.535221,0.5
HCP101884,EV2073,HCP101119,0.592069,0.630837,0.5
HCP101884,EV2073,HCP101707,0.592069,0.613071,0.5
HCP101272,EV2073,HCP100180,0.54082,0.565215,0.5
HCP101272,EV2073,HCP101978,0.54082,0.502095,0.5
HCP101017,EV2073,HCP102102,0.600279,0.588816,0.5
HCP101017,EV2073,HCP102199,0.600279,0.612168,0.5
HCP101417,EV2073,HCP101259,0.497047,0.511732,0.5
HCP101417,EV2073,HCP101315,0.497047,0.518601,0.5
HCP100824,EV2073,HCP100790,0.482676,0.492358,0.5
HCP100824,EV2073,HCP101342,0.482676,0.531638,0.5
HCP100047,EV2073,HCP101113,0.587415,0.550468,0.5
HCP100047,EV2073,HCP101925,0.587415,0.605534,0.5
HCP100054,EV2073,HCP100034,0.583967,0.60208,0.5
HCP100054,EV2073,HCP102159,0.583967,0.56711,0.5
HCP101876,EV2073,HCP100663,0.584731,0.600652,0.5
HCP101876,EV2073,HCP100395,0.584731,0.570718,0.5
HCP100370,EV2074,HCP102005,0.625491,0.601952,0.5
HCP100370,EV2074,HCP102158,0.625491,0.578874,0.5
HCP100718,EV2074,HCP102357,0.465925,0.435464,0.5
HCP100718,EV2074,HCP101464,0.465925,0.497654,0.5
HCP102326,EV2074,HCP101910,0.212018,0.194979,0.5
HCP102326,EV2074,HCP100301,0.212018,0.231238,0.5
HCP102030,EV2074,HCP102166,0.226547,0.214246,0.5
HCP102030,EV2074,HCP101459,0.226547,0.237627,0.5
HCP100909,EV2075,HCP101856,0.70828,0.717545,0.5
HCP100909,EV2075,HCP101572,0.70828,0.726311,0.5
HCP100033,EV2075,HCP101475,0.452957,0.409051,0.5
HCP100033,EV2075,HCP100977,0.452957,0.493498,0.5
HCP101358,EV2075,HCP101605,0.496292,0.450765,0.5
HCP101358,EV2075,HCP100929,0.496292,0.496976,0.5
HCP100249,EV2075,HCP100290,0.258121,0.297344,0.5
HCP100249,EV2075,HCP101858,0.258121,0.29064,0.5
HCP102255,EV2075,HCP101483,0.443865,0.467806,0.5
HCP102255,EV2075,HCP101069,0.443865,0.453621,0.5
HCP100652,EV2075,HCP100388,0.505713,0.456235,0.5
HCP100652,EV2075,HCP100088,0.505713,0.539111,0.5
HCP100756,EV2075,HCP101939,0.62318,0.669775,0.5
HCP100756,EV2075,HCP102104,0.62318,0.594184,0.5
HCP101317,EV2075,HCP102061,0.605959,0.606432,0.5
HCP101317,EV2075,HCP101876,0.605959,0.574172,0.5
HCP100307,EV2075,HCP100606,0.56638,0.587692,0.5
HCP100307,EV2075,HCP100393,0.56638,0.570714,0.5
HCP102392,EV2075,HCP101187,0.476641,0.503545,0.5
HCP102392,EV2075,HCP101757,0.476641,0.49192,0.5
HCP101976,EV2075,HCP102225,0.403618,0.388717,0.5
HCP101976,EV2075,HCP101039,0.403618,0.393132,0.5
HCP101129,EV2075,HCP100002,0.447501,0.410361,0.5
HCP101129,EV2075,HCP100812,0.447501,0.44218,0.5
HCP101579,EV2075,HCP101457,0.557766,0.564651,0.5
HCP101579,EV2075,HCP101535,0.557766,0.544748,0.5
HCP102067,EV2075,HCP100678,0.521899,0.570794,0.5
HCP102067,EV2075,HCP101529,0.521899,0.514205,0.5
HCP100727,EV2075,HCP102024,0.498056,0.471242,0.5
HCP100727,EV2075,HCP101076,0.498056,0.461813,0.5
HCP100023,EV2075,HCP100134,0.450072,0.41789,0.5
HCP100023,EV2075,HCP100124,0.450072,0.438244,0.5
HCP100381,EV2075,HCP100642,0.428931,0.400241,0.5
HCP100381,EV2075,HCP100371,0.428931,0.418874,0.5
HCP100822,EV2075,HCP100009,0.530903,0.573899,0.5
HCP100822,EV2075,HCP100075,0.530903,0.555068,0.5
HCP101945,EV2075,HCP101977,0.588369,0.600697,0.5
HCP101945,EV2075,HCP101488,0.588369,0.57494,0.5
HCP100347,EV2076,HCP100871,0.339278,0.363706,0.5
HCP100347,EV2076,HCP100167,0.339278,0.295103,0.5
HCP100640,EV2076,HCP100228,0.287414,0.32168,0.5
HCP100640,EV2076,HCP102033,0.287414,0.328244,0.5
HCP100213,EV2076,HCP102068,0.484281,0.444415,0.5
HCP100213,EV2076,HCP101199,0.484281,0.476403,0.5
HCP100725,EV2076,HCP100069,0.447998,0.475744,0.5
HCP100725,EV2076,HCP100744,0.447998,0.401089,0.5
HCP102107,EV2076,HCP101451,0.608002,0.582352,0.5
HCP102107,EV2076,HCP101811,0.608002,0.585256,0.5
HCP102168,EV2076,HCP100242,0.455928,0.465217,0.5
HCP102168,EV2076,HCP101473,0.455928,0.505534,0.5
HCP100774,EV2076,HCP100053,0.466803,0.474412,0.5
HCP100774,EV2076,HCP101265,0.466803,0.44058,0.5
HCP100323,EV2076,HCP101497,0.221008,0.21009,0.5
HCP100323,EV2076,HCP100165,0.221008,0.174547,0.5
HCP101458,EV2076,HCP100082,0.411977,0.395773,0.5
HCP101458,EV2076,HCP101631,0.411977,0.453964,0.5
HCP101612,EV2076,HCP101243,0.580322,0.565624,0.5
HCP101612,EV2076,HCP101212,0.580322,0.53123,0.5
HCP100633,EV2076,HCP100024,0.52004,0.514103,0.5
HCP100633,EV2076,HCP100868,0.52004,0.498681,0.5
HCP101840,EV2076,HCP100197,0.162603,0.182111,0.5
HCP101840,EV2076,HCP101501,0.162603,0.152921,0.5
HCP102382,EV2076,HCP100050,0.318903,0.282781,0.5
HCP102382,EV2076,HCP100319,0.318903,0.329963,0.5
HCP101152,EV2077,HCP101982,0.441461,0.406319,0.5
HCP101152,EV2077,HCP100376,0.441461,0.422624,0.5
HCP101952,EV2077,HCP101944,0.427103,0.471321,0.5
HCP101952,EV2077,HCP102475,0.427103,0.459103,0.5
HCP101443,EV2077,HCP101644,0.645091,0.607503,0.5
HCP101443,EV2077,HCP102224,0.645091,0.636109,0.5
HCP101140,EV2077,HCP102390,0.545195,0.527774,0.5
HCP101140,EV2077,HCP102153,0.545195,0.535144,0.5
HCP100551,EV2077,HCP101441,0.512047,0.508534,0.5
HCP100551,EV2077,HCP100606,0.512047,0.481558,0.5
HCP101475,EV2077,HCP101631,0.335074,0.319623,0.5
HCP101475,EV2077,HCP101911,0.335074,0.311043,0.5
HCP101507,EV2077,HCP100996,0.358734,0.344088,0.5
HCP101507,EV2077,HCP100704,0.358734,0.363855,0.5
HCP102135,EV2077,HCP100619,0.545746,0.575378,0.5
HCP102135,EV2077,HCP102060,0.545746,0.555601,0.5
HCP100405,EV2077,HCP101457,0.368994,0.403905,0.5
HCP100405,EV2077,HCP102016,0.368994,0.364306,0.5
HCP100917,EV2077,HCP100500,0.457913,0.493745,0.5
HCP100917,EV2077,HCP101757,0.457913,0.423734,0.5
HCP100285,EV2077,HCP102385,0.531423,0.488004,0.5
HCP100285,EV2077,HCP100586,0.531423,0.522568,0.5
HCP101913,EV2078,HCP100116,0.327468,0.362529,0.5
HCP101913,EV2078,HCP101863,0.327468,0.371711,0.5
HCP101648,EV2078,HCP100420,0.467769,0.446236,0.5
HCP101648,EV2078,HCP102246,0.467769,0.509039,0.5
HCP102190,EV2078,HCP101528,0.668618,0.672322,0.5
HCP102190,EV2078,HCP100599,0.668618,0.63576,0.5
HCP102452,EV2078,HCP101994,0.384296,0.379671,0.5
HCP102452,EV2078,HCP101839,0.384296,0.396441,0.5
HCP101617,EV2078,HCP101799,0.463047,0.421057,0.5
HCP101617,EV2078,HCP102031,0.463047,0.498594,0.5
HCP101214,EV2078,HCP101215,0.625421,0.594175,0.5
HCP101214,EV2078,HCP100953,0.625421,0.644746,0.5
HCP102134,EV2078,HCP100015,0.675184,0.635169,0.5
HCP102134,EV2078,HCP101844,0.675184,0.664462,0.5
HCP100694,EV2078,HCP100738,0.385882,0.398343,0.5
HCP100694,EV2078,HCP100567,0.385882,0.409378,0.5
HCP100208,EV2078,HCP101960,0.566907,0.524867,0.5
HCP100208,EV2078,HCP101925,0.566907,0.605534,0.5
HCP101053,EV2078,HCP102085,0.627485,0.599472,0.5
HCP101053,EV2078,HCP100606,0.627485,0.587692,0.5
HCP102001,EV2078,HCP101457,0.535527,0.564651,0.5
HCP102001,EV2078,HCP101113,0.535527,0.550468,0.5
HCP102022,EV2078,HCP100156,0.581066,0.571955,0.5
HCP102022,EV2078,HCP101299,0.581066,0.541951,0.5
HCP100009,EV2078,HCP101275,0.573899,0.548124,0.5
HCP100009,EV2078,HCP100616,0.573899,0.616108,0.5
HCP101845,EV2078,HCP102469,0.301176,0.330745,0.5
HCP101845,EV2078,HCP100920,0.301176,0.350759,0.5
HCP100520,EV2078,HCP100124,0.471429,0.438244,0.5
HCP100520,EV2078,HCP101251,0.471429,0.432967,0.5
HCP102350,EV2078,HCP101441,0.437991,0.467519,0.5
HCP102350,EV2078,HCP100635,0.437991,0.415583,0.5
HCP101179,EV2078,HCP100189,0.426965,0.442144,0.5
HCP101179,EV2078,HCP102156,0.426965,0.431504,0.5
HCP100447,EV2079,HCP101749,0.203597,0.189116,0.5
HCP100447,EV2079,HCP101284,0.203597,0.163228,0.5
HCP102075,EV2079,HCP101006,0.389447,0.406292,0.5
HCP102075,EV2079,HCP100030,0.389447,0.347622,0.5
HCP100606,EV2079,HCP101643,0.507502,0.528382,0.5
HCP100606,EV2079,HCP102363,0.507502,0.508071,0.5
HCP101034,EV2079,HCP100195,0.580128,0.574904,0.5
HCP101034,EV2079,HCP102225,0.580128,0.596139,0.5
HCP101925,EV2079,HCP101342,0.484274,0.509933,0.5
HCP101925,EV2079,HCP100714,0.484274,0.4853,0.5
HCP100441,EV2079,HCP100383,0.32946,0.378007,0.5
HCP100441,EV2079,HCP100385,0.32946,0.324526,0.5
HCP100567,EV2079,HCP101228,0.226519,0.268808,1.0
HCP100286,EV2080,HCP101058,0.387665,0.426814,0.5
HCP100286,EV2080,HCP100482,0.387665,0.383537,0.5
HCP100412,EV2080,HCP101054,0.662672,0.68201,0.5
HCP100412,EV2080,HCP100943,0.662672,0.69558,0.5
HCP101184,EV2080,HCP101044,0.52525,0.516173,0.5
HCP101184,EV2080,HCP100540,0.52525,0.489921,0.5
HCP101185,EV2080,HCP100022,0.191361,0.143793,0.5
HCP101185,EV2080,HCP101410,0.191361,0.19482,0.5
HCP102253,EV2080,HCP102321,0.762079,0.77216,0.5
HCP102253,EV2080,HCP100908,0.762079,0.779728,0.5
HCP101583,EV2080,HCP101642,0.595098,0.605825,0.5
HCP101583,EV2080,HCP100402,0.595098,0.564407,0.5
HCP102385,EV2080,HCP101609,0.434998,0.41887,0.5
HCP102385,EV2080,HCP101351,0.434998,0.478642,0.5
HCP100179,EV2080,HCP100030,0.535482,0.543123,0.5
HCP100179,EV2080,HCP100650,0.535482,0.505093,0.5
HCP100820,EV2080,HCP102111,0.358359,0.334193,0.5
HCP100820,EV2080,HCP100608,0.358359,0.406875,0.5
HCP102422,EV2080,HCP102024,0.372493,0.357236,0.5
HCP102422,EV2080,HCP101441,0.372493,0.401681,0.5
HCP101939,EV2080,HCP100270,0.590476,0.57851,0.5
HCP101939,EV2080,HCP100420,0.590476,0.546672,0.5
HCP102200,EV2080,HCP100594,0.27207,0.244623,0.5
HCP102200,EV2080,HCP102169,0.27207,0.300802,0.5
HCP102320,EV2080,HCP100839,0.583546,0.599802,0.5
HCP102320,EV2080,HCP100522,0.583546,0.597969,0.5
HCP101991,EV2080,HCP100264,0.380706,0.401143,0.5
HCP101991,EV2080,HCP101246,0.380706,0.402466,0.5
HCP101405,EV2080,HCP100137,0.469295,0.444684,0.5
HCP101405,EV2080,HCP101200,0.469295,0.426963,0.5
HCP100410,EV2080,HCP101341,0.408289,0.448134,0.5
HCP100410,EV2080,HCP100543,0.408289,0.447571,0.5
HCP100790,EV2080,HCP102171,0.357964,0.37999,0.5
HCP100790,EV2080,HCP101674,0.357964,0.405911,0.5
HCP102416,EV2081,HCP101019,0.473199,0.479817,0.5
HCP102416,EV2081,HCP101862,0.473199,0.454246,0.5
HCP101585,EV2081,HCP101794,0.466582,0.431436,0.5
HCP101585,EV2081,HCP100290,0.466582,0.455115,0.5
HCP101144,EV2081,HCP101288,0.356385,0.360763,0.5
HCP101144,EV2081,HCP100068,0.356385,0.310294,0.5
HCP102132,EV2081,HCP101697,0.609643,0.569018,0.5
HCP102132,EV2081,HCP100803,0.609643,0.619208,0.5
HCP100537,EV2081,HCP102192,0.647331,0.599777,0.5
HCP100537,EV2081,HCP101985,0.647331,0.644329,0.5
HCP100044,EV2081,HCP101933,0.603311,0.568644,0.5
HCP100044,EV2081,HCP100574,0.603311,0.561937,0.5
HCP101428,EV2081,HCP101944,0.147363,0.188763,0.5
HCP101428,EV2081,HCP100489,0.147363,0.192137,0.5
HCP101041,EV2081,HCP101469,0.446149,0.420859,0.5
HCP101041,EV2081,HCP102189,0.446149,0.421564,0.5
HCP101164,EV2081,HCP101145,0.417666,0.401632,0.5
HCP101164,EV2081,HCP101911,0.417666,0.411527,0.5
HCP101818,EV2081,HCP100309,0.483044,0.497373,0.5
HCP101818,EV2081,HCP100726,0.483044,0.512068,0.5
HCP100657,EV2081,HCP101054,0.516231,0.506345,0.5
